id,title,Indie,Action,Casual,Adventure,Strategy,Simulation,RPG,Free to Play,Early Access
113400,APB Reloaded,0,1,0,0,0,0,0,1,0
346110,ARK: Survival Evolved,1,1,0,1,0,0,1,0,0
224540,Ace of Spades: Battle Builder,1,1,0,0,0,0,0,0,0
346900,AdVenture Capitalist,1,0,1,0,0,0,0,1,0
221380,Age of Empires II HD,0,0,0,0,1,0,0,0,0
206500,AirMech Strike,1,1,0,0,1,0,0,1,1
33930,Arma 2: Operation Arrowhead,0,1,0,0,1,1,0,0,0
107410,Arma 3,0,1,0,0,1,1,0,0,0
204300,Awesomenauts - the 2D moba,1,1,0,0,1,0,0,1,0
200260,Batman: Arkham City - Game of the Year Edition,0,1,0,1,0,0,0,0,0
238460,BattleBlock Theater®,1,1,1,1,0,0,0,0,0
24960,Battlefield: Bad Company™ 2,0,1,0,0,0,0,0,0,0
209870,Blacklight: Retribution,0,1,0,0,0,0,0,1,0
8980,Borderlands,0,1,0,0,0,0,1,0,0
49520,Borderlands 2,0,1,0,0,0,0,1,0,0
261640,Borderlands: The Pre-Sequel,0,1,0,0,0,0,1,0,0
291550,Brawlhalla,1,1,0,0,0,0,0,1,0
311210,Call of Duty®: Black Ops III,0,1,0,1,0,0,0,0,0
204360,Castle Crashers®,1,1,1,1,0,0,1,0,0
219640,Chivalry: Medieval Warfare,1,1,0,0,0,0,0,0,0
255710,Cities: Skylines,0,0,0,0,1,1,0,0,0
363970,Clicker Heroes,1,0,1,1,1,1,1,1,0
10,Counter-Strike,0,1,0,0,0,0,0,0,0
730,Counter-Strike: Global Offensive,0,1,0,0,0,0,0,0,0
240,Counter-Strike: Source,0,1,0,0,0,0,0,0,0
203770,Crusader Kings II,0,0,0,0,1,1,1,0,0
236430,DARK SOULS™ II,0,1,0,0,0,0,1,0,0
211420,DARK SOULS™: Prepare To Die™ Edition,0,1,0,0,0,0,1,0,0
221100,DayZ,1,1,0,0,0,0,0,0,1
224600,Defiance,0,1,0,0,0,0,1,1,0
205100,Dishonored,0,1,0,1,0,0,0,0,0
322330,Don't Starve Together,1,0,0,1,0,1,0,0,0
65800,Dungeon Defenders,1,1,0,0,1,0,1,0,0
236110,Dungeon Defenders II,1,1,0,0,1,0,1,1,0
239140,Dying Light,0,1,0,0,0,0,1,0,0
8500,EVE Online,0,1,0,0,1,0,1,1,0
237310,Elsword,0,1,1,1,0,0,1,1,0
227300,Euro Truck Simulator 2,1,0,0,0,0,1,0,0,0
236850,Europa Universalis IV,0,0,0,0,1,1,0,0,0
39210,FINAL FANTASY XIV Online,0,0,0,0,0,0,1,0,0
212680,FTL: Faster Than Light,1,0,0,0,1,1,0,0,0
427520,Factorio,1,0,1,0,1,1,0,0,1
377160,Fallout 4,0,0,0,0,0,0,1,0,0
22380,Fallout: New Vegas,0,1,0,0,0,0,1,0,0
220240,Far Cry 3,0,1,0,1,0,0,0,0,0
239820,Game Dev Tycoon,1,0,1,0,1,1,0,0,0
4000,Garry's Mod,1,0,0,0,0,1,0,0,0
271590,Grand Theft Auto V,0,1,0,1,0,0,0,0,0
209080,Guns of Icarus Online,1,1,0,1,0,1,0,0,0
227940,Heroes &amp; Generals,1,1,0,0,0,0,0,1,0
222880,Insurgency,1,1,0,0,1,0,0,0,0
8190,Just Cause 2,0,1,0,1,0,0,0,0,0
220200,Kerbal Space Program,1,0,0,0,0,1,0,0,0
1250,Killing Floor,0,1,0,0,0,0,0,0,0
500,Left 4 Dead,0,1,0,0,0,0,0,0,0
550,Left 4 Dead 2,0,1,0,0,0,0,0,0,0
208090,Loadout,1,1,0,0,0,0,0,1,0
287700,METAL GEAR SOLID V: THE PHANTOM PAIN,0,1,0,1,0,0,0,0,0
42910,Magicka,0,1,0,0,0,0,1,0,0
216150,MapleStory,0,0,1,0,0,0,1,1,0
241930,Middle-earth™: Shadow of Mordor™,0,1,0,1,0,0,0,0,0
48700,Mount &amp; Blade: Warband,0,1,0,0,0,0,1,0,0
4920,Natural Selection 2,1,1,0,0,1,0,0,0,0
109600,Neverwinter,0,1,0,1,0,0,1,1,0
224260,No More Room in Hell,1,1,0,0,0,0,0,1,0
201790,Orcs Must Die! 2,1,1,0,0,1,0,0,0,0
218230,PlanetSide 2,0,1,0,0,0,0,0,1,0
620,Portal 2,0,1,0,1,0,0,0,0,0
233450,Prison Architect,1,0,0,0,1,1,0,0,0
39120,RIFT,0,0,0,0,0,0,1,1,0
200210,Realm of the Mad God,1,1,0,0,0,0,1,1,0
35450,Red Orchestra 2: Heroes of Stalingrad with Rising Storm,0,1,0,0,0,1,0,0,0
344760,Reign Of Kings,1,1,0,1,0,1,1,0,0
248820,Risk of Rain,1,1,0,0,0,0,1,0,0
301520,Robocraft,1,1,0,0,0,1,1,1,0
252950,Rocket League®,1,1,0,0,0,0,0,0,0
252490,Rust,1,1,0,1,0,0,1,0,1
386360,SMITE®,0,1,0,0,0,0,0,1,0
206420,Saints Row IV,0,1,0,1,0,0,0,0,0
55230,Saints Row: The Third,0,1,0,0,0,0,0,0,0
8930,Sid Meier's Civilization® V,0,0,0,0,1,0,0,0,0
207140,SpeedRunners,1,1,1,0,0,0,0,0,0
99900,Spiral Knights,1,1,0,1,0,0,1,1,0
9900,Star Trek Online,0,0,0,0,0,0,1,1,0
211820,Starbound,1,1,1,1,0,0,1,0,0
413150,Stardew Valley,1,0,0,0,0,1,1,0,0
47410,Stronghold Kingdoms,0,0,0,0,1,0,0,1,0
323370,TERA,0,1,0,1,0,0,1,1,0
105600,Terraria,1,1,0,1,0,0,1,0,0
113200,The Binding of Isaac,1,1,0,1,0,0,1,0,0
250900,The Binding of Isaac: Rebirth,0,1,0,0,0,0,0,0,0
242760,The Forest,1,1,0,1,0,1,0,0,1
365590,Tom Clancy’s The Division™,0,1,0,1,0,0,1,0,0
200710,Torchlight II,1,1,0,1,0,0,1,0,0
214950,Total War™: ROME II - Emperor Edition,0,0,0,0,1,0,0,0,0
304050,Trove,0,1,1,1,0,0,1,1,0
304930,Unturned,1,1,1,1,0,0,0,1,0
212160,Vindictus,0,1,0,1,0,0,1,1,0
230410,Warframe,0,1,0,0,0,0,0,1,0
200510,XCOM: Enemy Unknown,0,0,0,0,1,0,0,0,0
