title,recommend,year_review,sentimiento
Half-Life,True,2013,2
Half-Life,True,2015,1
Half-Life,True,2014,2
Half-Life,True,2015,2
Half-Life,True,2014,2
Half-Life,True,2014,2
Half-Life,True,2015,1
Half-Life,True,2014,2
Half-Life,True,2015,2
Half-Life,True,2014,2
Half-Life,True,2014,2
Half-Life,True,2013,2
Half-Life,True,2015,2
Half-Life,True,2012,2
Half-Life,True,2014,1
Half-Life,True,2014,2
Half-Life,True,2015,2
Half-Life,True,2012,2
Half-Life,True,2014,1
Half-Life,True,2011,2
Half-Life,True,2014,2
Half-Life,True,2014,2
Half-Life,True,2015,2
Half-Life,True,2014,2
Half-Life,True,2013,2
Half-Life,True,2014,2
Half-Life,True,2015,1
Half-Life,True,2015,2
Half-Life,True,2014,2
Half-Life,True,2015,2
Half-Life,True,2014,2
Half-Life,True,2012,1
Half-Life,True,2013,2
Half-Life,True,2014,1
Half-Life,True,2013,2
Half-Life,True,2015,2
Half-Life,True,2014,2
Half-Life,True,2014,2
Half-Life,True,2014,2
Half-Life,True,2015,1
Half-Life,True,2015,2
The Ship: Murder Party,True,2014,2
The Ship: Murder Party,True,2015,2
The Ship: Murder Party,True,2013,2
The Ship: Murder Party,True,2014,2
The Ship: Murder Party,True,2014,1
The Ship: Murder Party,True,2014,2
The Ship: Murder Party,True,2014,1
The Ship: Murder Party,True,2015,1
The Ship: Murder Party,True,2015,2
The Ship: Murder Party,True,2014,2
The Ship: Murder Party,True,2014,2
The Ship: Murder Party,True,2014,2
The Ship: Murder Party,True,2014,2
The Ship: Murder Party,True,2014,1
The Ship: Murder Party,True,2014,1
The Ship: Murder Party,True,2014,2
The Ship: Murder Party,True,2015,2
The Ship: Murder Party,True,2013,2
The Ship: Murder Party,True,2014,2
The Ship: Murder Party,True,2014,1
The Ship: Murder Party,True,2014,2
The Ship: Murder Party,True,2014,1
The Ship: Murder Party,True,2015,1
The Ship: Murder Party,True,2015,2
The Ship: Murder Party,True,2014,2
The Ship: Murder Party,True,2014,2
The Ship: Murder Party,True,2014,2
The Ship: Murder Party,True,2014,2
The Ship: Murder Party,True,2014,1
The Ship: Murder Party,True,2014,1
The Ship: Murder Party,True,2014,2
The Ship: Murder Party,True,2015,2
The Ship: Murder Party,True,2013,2
The Ship: Murder Party,True,2014,2
The Ship: Murder Party,True,2014,1
The Ship: Murder Party,True,2014,2
The Ship: Murder Party,True,2014,1
The Ship: Murder Party,True,2015,1
The Ship: Murder Party,True,2015,2
The Ship: Murder Party,True,2014,2
The Ship: Murder Party,True,2014,2
The Ship: Murder Party,True,2014,2
The Ship: Murder Party,True,2014,2
